CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820841024,74,55,57,60,37,17,6,1,2,0,0,0,0,0,0,0,0,0,0,309
820841025,64,51,50,48,38,7,5,2,1,1,0,1,0,0,0,0,0,0,0,268
820841026,59,52,39,42,22,10,1,2,2,0,1,0,0,0,0,0,0,0,0,230
820841027,42,61,51,59,36,5,7,3,1,0,0,0,0,0,0,0,0,0,0,265
820841028,57,46,44,38,24,8,1,2,0,0,0,0,0,0,0,0,0,0,0,220
820841029,46,49,49,31,29,7,3,0,2,0,0,0,0,0,0,0,0,0,0,216
820841030,51,52,49,45,30,9,5,2,2,0,0,0,0,0,0,0,0,0,0,245
820841031,44,51,51,47,34,9,4,2,1,1,0,0,0,0,0,0,0,0,0,244
820841032,28,55,71,66,39,7,3,1,0,0,0,0,1,0,0,0,0,0,0,271
820841033,26,29,40,33,34,5,5,0,1,0,0,0,0,0,0,0,0,0,0,173
820841034,40,50,32,29,29,8,1,1,0,0,0,0,0,0,0,0,0,0,0,190
820841035,50,44,46,49,50,14,2,0,0,0,0,0,0,0,0,0,0,0,0,255
820841036,50,51,36,41,32,4,2,2,1,0,0,0,0,0,0,0,0,0,0,219
820841037,34,52,67,48,43,8,1,1,1,0,0,0,0,0,0,0,0,0,0,255
820841101,59,66,53,62,26,8,0,2,0,0,0,0,0,0,0,0,0,0,0,276
820841102,42,84,59,27,16,3,2,2,0,0,0,0,0,0,0,0,0,0,0,235
820841103,77,102,78,57,31,10,1,0,0,1,0,0,0,0,0,0,0,0,0,357
820841104,76,86,66,39,21,4,2,1,0,0,0,0,0,0,0,0,0,0,0,295
820841105,75,80,82,61,42,8,8,2,1,0,0,0,0,0,0,0,0,0,0,359
820841106,78,86,67,71,41,17,7,2,1,0,1,1,0,0,0,0,0,0,0,372
820841107,62,69,58,67,29,8,2,1,1,0,0,0,0,0,0,0,0,0,0,297
820841108,74,101,75,49,12,8,0,1,0,0,0,0,0,0,0,0,0,0,0,320
820841109,2,8,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
820841110,63,77,60,66,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,293
820841111,106,105,79,55,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,388
820841112,90,110,51,54,26,2,2,2,0,0,0,0,0,0,0,0,0,0,0,337
820841113,39,45,28,34,26,12,6,2,2,0,0,0,0,0,0,0,0,0,0,194
820841114,48,48,41,33,30,6,4,1,0,0,0,0,0,0,0,0,0,0,0,211
820841115,76,83,48,44,16,6,1,1,1,0,0,0,0,0,0,0,0,0,0,276
820841116,81,96,58,60,27,11,1,1,1,0,0,0,0,0,0,0,0,0,0,336
820841117,95,125,71,62,24,5,1,0,0,0,0,0,0,0,0,0,0,0,0,383
820841118,80,104,67,52,22,4,2,0,1,0,0,0,0,0,0,0,0,0,0,332
820841119,98,97,70,50,22,7,2,1,0,0,0,0,0,0,0,0,0,0,0,347
820841120,61,56,47,43,26,4,2,1,0,0,0,1,0,0,0,0,0,0,0,241
820841121,63,73,56,49,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,262
820841122,46,46,79,68,29,6,1,1,3,0,1,0,0,0,0,0,0,0,0,280
820841123,54,66,43,43,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,230
820841201,77,47,47,47,43,13,4,0,2,1,0,0,0,0,0,0,0,0,0,281
820841202,76,77,74,98,77,21,9,12,7,1,1,0,0,0,0,0,1,0,0,454
820841203,76,87,74,65,45,15,4,2,0,0,0,0,0,0,0,0,0,0,0,368
820841204,39,51,58,68,62,13,6,4,0,0,0,1,1,1,0,0,0,0,0,304
820841205,79,80,76,57,32,9,1,0,2,0,0,0,0,0,0,0,0,0,0,336
820841206,106,82,62,48,36,11,4,6,1,1,0,0,0,0,0,0,0,0,0,357
820841207,55,68,59,39,28,7,2,1,1,0,0,0,0,0,0,0,0,0,0,260
820841208,53,63,47,46,23,12,2,2,1,2,0,0,0,0,0,0,0,0,0,251
820841209,48,77,51,61,69,13,8,6,1,0,0,0,0,0,0,0,0,0,0,334
820841210,68,57,79,55,39,12,3,4,0,0,1,0,1,0,0,0,0,0,0,319
820841211,45,31,42,51,44,11,2,0,2,0,1,0,0,0,0,0,0,0,0,229
820841212,59,60,56,50,21,5,6,1,0,0,0,0,0,0,0,0,0,0,0,258
820841213,39,46,38,33,28,4,4,0,0,1,0,0,0,0,0,0,0,0,0,193
820841214,70,61,36,24,27,2,1,1,0,0,0,0,0,0,0,0,0,0,0,222
820841215,62,93,63,57,22,17,3,0,1,0,0,1,0,0,0,0,0,0,0,319
820841216,67,57,43,40,22,7,1,0,1,0,0,0,0,0,0,0,0,0,0,238
820841217,84,64,60,38,34,11,1,1,1,0,0,0,0,0,0,0,0,0,0,294
820841218,46,52,36,41,25,8,1,1,1,0,0,1,0,0,0,0,0,0,0,212
820841219,33,57,51,51,50,9,6,6,1,3,0,0,0,0,0,0,0,0,0,267
820841220,68,52,70,44,43,14,4,0,2,1,0,0,1,0,0,0,0,0,0,299
820841221,98,71,65,69,45,10,5,4,2,0,1,0,0,0,0,0,0,0,0,370
820841222,66,55,37,44,25,15,4,5,1,1,0,0,0,0,0,0,0,0,0,253
820841223,51,57,45,55,31,8,3,2,0,1,0,0,0,0,0,0,0,0,0,253
820841224,64,62,46,47,35,9,6,4,1,0,0,0,0,0,0,0,0,0,0,274
820841225,36,27,31,30,38,10,2,5,4,1,0,0,0,0,0,1,0,0,0,185
820841226,44,43,50,57,46,8,8,2,1,0,0,0,0,0,0,0,0,0,0,259
820841227,44,40,28,27,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,158
820841228,49,54,52,56,52,14,7,1,2,1,0,1,0,0,0,0,0,0,0,289
820841301,93,112,68,42,36,6,2,1,0,0,0,0,0,0,0,0,0,0,0,360
820841302,65,44,52,40,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,214
820841303,36,49,58,43,36,11,3,1,0,0,0,0,0,0,0,0,0,0,0,237
820841304,66,74,42,54,35,8,2,3,0,0,0,0,0,0,0,0,0,0,0,284
820841305,75,93,62,44,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,303
820841306,88,97,83,60,50,8,6,0,1,1,0,0,0,0,0,0,0,0,0,394
820841307,80,75,59,55,37,11,1,3,0,1,0,0,0,0,0,0,0,0,0,322
820841308,91,87,71,78,38,7,4,2,1,1,0,0,0,0,0,0,0,0,0,380
820841309,61,54,37,23,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,187
820841310,58,68,42,34,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,214
820841311,47,50,39,31,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,186
820841312,101,93,41,37,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,288
820841313,56,74,57,37,23,6,2,0,0,0,0,0,0,0,0,0,0,0,0,255
820841314,69,80,68,64,33,6,4,2,0,0,0,0,0,1,0,0,0,0,0,327
820841315,27,59,42,37,27,7,3,6,0,0,0,0,0,0,0,0,0,0,0,208
820841316,38,45,28,33,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,169
820841317,31,35,28,32,15,4,2,0,1,0,0,0,0,1,0,0,0,0,0,149
820841318,41,42,24,21,18,5,0,0,1,0,0,0,0,0,0,0,0,0,0,152
820841319,36,32,19,16,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,117
820841320,41,45,35,33,25,0,1,0,3,0,1,0,1,0,0,0,0,0,0,185
820841401,73,72,57,48,29,6,4,0,0,0,0,0,0,0,0,0,0,0,0,289
820841402,98,75,45,38,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,262
820841403,74,51,33,18,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,185
820841404,82,96,67,69,20,6,1,0,0,1,0,0,0,0,0,0,0,0,0,342
820841405,81,60,59,38,20,4,2,0,1,1,0,0,0,0,0,0,0,0,0,266
820841406,101,93,63,60,24,8,3,2,1,0,0,0,0,0,0,0,0,0,0,355
820841407,79,105,61,44,22,6,0,2,0,0,0,0,0,0,0,0,0,0,0,319
820841408,106,87,57,49,17,4,1,1,0,0,0,0,0,0,0,0,0,0,0,322
820841409,59,65,48,39,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,233
820841410,88,88,71,62,32,2,1,2,0,0,0,0,0,0,0,0,0,0,0,346
820841411,60,46,38,32,6,3,3,0,1,0,2,0,0,0,0,0,0,0,0,191
